0 01000000000000000000000000000010
1 10000000000000000000000000000001
2 00000000000000000000000000000000
3 00000000000000000000000000000000
4 01000000000000000000000000000001
5 10000000000000000000000000000010
6 10000000000000000000000000000011
7 10000000000000000000000000000100
8 01000000000000000000000000010010
9 01000000000000000000000000000010
10 01000000000000000000000000000100
11 00000000000000000000000000000000
12 01000000000000000000000000000100
13 01000000000000000000000000000100
14 01000000000000000000000000000010
15 00000000000000000000000000000000
16 01000000000000000000000000000100
17 01000000000000000000000000000010
18 01000000000000000000000000000100
19 00000000000000000000000000000000





-- Neues Format

0 01000000000000000000000000000010100000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000
1 01000000000000000000000000000001100000000000000000000000000000101000000000000000000000000000001110000000000000000000000000000100
2 01000000000000000000000000010010010000000000000000000000000000100100000000000000000000000000010000000000000000000000000000000000
3 01000000000000000000000000000100010000000000000000000000000001000100000000000000000000000000001000000000000000000000000000000000
4 01000000000000000000000000000100010000000000000000000000000000100100000000000000000000000000010000000000000000000000000000000000
